Sample	posterior	likelihood	prior	Tree.t:Ala.CFheight	Tree.t:Ala.CFlength	Tree.t:Ala.nConv	Tree.t:Ala.nUselessConvs	Tree.t:Ala.meanEdgeLength	Tree.t:Ala.meanDepartureHeight	Tree.t:Ala.locus.Ala.meanTractLength	Tree.t:Ala.locus.Ala.meanRegionLength	Tree.t:Ala.locus.Ala.meanStartSite	Tree.t:Ala.locus.Ala.meanEndSite	Tree.t:Ala.locus.Ala.randomStartSite	Tree.t:Ala.locus.Ala.randomEndSite	rho.t:Ala	delta.t:Ala	popSize.t:Ala	gammaShape.s:Ala	mutationRate.s:Ala
47000	-5492.697942073872	-5279.903502999377	-212.79443907449428	7.8059908745931255	29.047887283116058	11	6	2.1706102448800544	3.167320590945502	66.0	52.0	15.090909090909092	80.0909090909091	0.0	35.0	8.603753235205156E-4	283.3470778798203	4.202809345416287	0.6786644610216072	1.0
48000	-5433.151065480471	-5268.724433421359	-164.42663205911123	3.4722929484129996	18.04018558048304	7	2	0.5332452781726399	0.9037652582568512	83.14285714285714	26.0	6.714285714285714	88.85714285714286	0.0	103.0	9.66790372761082E-4	524.5237250058681	4.54754118112474	0.6786644610216072	1.0
49000	-5522.641020415732	-5268.161141180419	-254.4798792353131	18.823671297961614	54.344016616277415	20	15	4.095699562801464	6.038678125417246	91.75	52.0	4.8	95.55	0.0	103.0	5.04881363092976E-4	545.201743969662	6.37474860509912	0.7118650343585444	1.0
50000	-5430.480674376998	-5257.679966434688	-172.80070794230969	4.803109229116758	26.895410944605846	7	2	1.401804202773447	0.8140360950076871	102.0	52.0	2.0	103.0	0.0	103.0	4.159862448627717E-4	512.4305987319105	6.16596300347891	0.7093410456808164	1.0
51000	-5442.407554018046	-5262.384065289967	-180.02348872807895	2.160253959501772	17.24658073469275	9	4	0.4703223210941235	0.5504466846394735	83.77777777777777	52.0	20.22222222222222	103.0	14.0	103.0	5.0918097795677E-4	577.6625058740502	6.40898922605289	0.7093410456808164	1.0
52000	-5429.306603306527	-5264.120048123502	-165.18655518302492	4.904328160141536	24.706394593007715	7	2	1.462442906800405	1.224855018172832	102.0	52.0	2.0	103.0	14.0	103.0	2.919619113281218E-4	595.6147066956734	6.040044585476815	0.6666209789910008	1.0
53000	-5443.599932771299	-5265.463048809082	-178.13688396221755	8.706075217497904	33.6590126331545	8	3	1.3109719912783135	1.4395542852099315	102.25	52.0	1.75	103.0	0.0	103.0	2.008753276905925E-4	613.5923396223427	5.11818712713323	0.6666209789910008	1.0
54000	-5428.966793273005	-5264.895694623513	-164.07109864949268	5.671816198364069	25.752804115928566	6	1	0.7326450004049522	0.8123008181655571	101.66666666666667	52.0	2.3333333333333335	103.0	14.0	103.0	2.5264020315814584E-4	554.4948346408214	7.204938051185276	0.6666209789910008	1.0
55000	-5446.924431984088	-5267.459557568418	-179.46487441567032	8.218523914064477	31.552131884172635	7	1	0.27804991364779535	1.2626868552809847	82.71428571428571	52.0	4.0	85.71428571428571	0.0	103.0	2.325857561367691E-4	414.03078331806444	5.075738575498873	0.6666209789910008	1.0
56000	-5442.074858039647	-5270.148686369572	-171.9261716700746	14.186860961105156	46.327672258245144	6	1	0.43395675108120674	2.1593770577071862	89.66666666666667	52.0	0.0	88.66666666666667	0.0	103.0	2.712453292907282E-4	296.9823996124102	5.808582295363962	0.6666209789910008	1.0
57000	-5447.894176617054	-5259.261145682915	-188.63303093413808	9.094702730497598	32.940027499881054	9	2	1.7079394852986982	1.5647542886815986	82.44444444444444	34.666666666666664	0.5555555555555556	82.0	0.0	103.0	7.242659923980608E-4	219.40992057446599	6.000784004416107	0.6666209789910008	1.0
58000	-5547.992866925593	-5256.211183063105	-291.78168386248876	14.969095495508604	47.71239175455041	20	14	2.3379797742712407	3.790023706685497	72.25	26.0	18.55	89.8	0.0	103.0	0.0012303007802380373	288.9930968698092	7.564636725568848	0.6666209789910008	1.0
59000	-5702.297480010605	-5268.672559735893	-433.624920274712	26.22016376980443	70.67270157111494	46	39	1.7130985299734118	9.873820691504733	84.91304347826087	34.666666666666664	5.565217391304348	89.47826086956522	22.0	103.0	0.001395120379993231	276.5501551392124	4.81144056766425	0.6666209789910008	1.0
60000	-5435.561537210663	-5262.216574796304	-173.34496241435946	6.936611557744666	28.763688739099102	10	5	0.7911206806698055	1.6190400955034945	95.3	52.0	0.0	94.3	0.0	103.0	8.609948699488197E-4	531.088150723211	4.982948829799974	0.6666209789910008	1.0
61000	-5459.231417767858	-5258.224948196665	-201.00646957119315	3.825561336554174	26.438957253827	11	5	4.614879047551091	1.2762213105555007	95.0	52.0	1.0909090909090908	95.0909090909091	0.0	103.0	7.419723205206915E-4	771.3649806115512	6.72716062945668	0.6666209789910008	1.0
62000	-5594.804435683881	-5259.889832786397	-334.91460289748335	21.309387279435718	67.72481808216394	37	30	1.9943962528786605	6.885350931379267	93.91891891891892	52.0	0.4864864864864865	93.4054054054054	0.0	40.0	4.21242299161635E-4	1012.0630918583913	5.956863987293713	0.6666209789910008	1.0
63000	-5629.421208375382	-5260.52401716001	-368.8971912153721	28.87803936200996	77.31400486873517	50	43	2.2551143290167355	11.308684111233335	96.36	52.0	2.0	97.36	0.0	103.0	3.453887827997258E-4	1727.8201912818206	5.385020838461981	0.6666209789910008	1.0
64000	-5453.246909813587	-5260.190687184061	-193.05622262952636	6.925615462062278	32.04410723625577	14	7	0.4468162629344183	1.2545482520175606	95.57142857142857	52.0	2.2142857142857144	96.78571428571429	31.0	103.0	4.285462564182265E-4	1122.233612432723	4.054848785799788	0.7449925036235447	1.0
65000	-5483.260298711125	-5257.156402343955	-226.10389636717014	7.205632574256754	36.13256128141414	18	10	0.4166707984579545	2.0372653659094997	90.61111111111111	52.0	8.555555555555555	98.16666666666667	0.0	103.0	2.0253011344735223E-4	1146.2888293893893	3.959194098438707	0.7449925036235447	1.0
66000	-5453.447792923654	-5255.034934594303	-198.41285832935043	6.260123389713051	29.67694532330762	13	5	0.5661393903160079	0.9614050850177646	93.15384615384616	52.0	3.230769230769231	95.38461538461539	0.0	103.0	2.576060907436971E-4	1261.8111285873467	4.657048617742886	0.7449925036235447	1.0
